тот,тот,"that, the other, the right","jener, jenes, jene, dieser, dieses, diese, der, das, die, der vorige, der eine",,,,,,,тот,того',тому',"то'т, того'",тем,том,та,то'й,то'й,ту,"то'й, то'ю",то'й,то,того',тому',то,тем,том,те,тех,тем,"те, тех",те'ми,тех
как,как,how,"wie, als, was",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
этот,э'тот,this,"dieser, dieses, diese",,,,,,,э'тот,э'того,э'тому,"э'тот, э'того",э'тим,э'том,э'та,э'той,э'той,э'ту,"э'той, э'тою",э'той,э'то,э'того,э'тому,э'то,э'тим,э'том,э'ти,э'тих,э'тим,"э'ти, э'тих",э'тими,э'тих
который,кото'рый,"which, that; who","welcher, der",,,,,,,кото'рый,кото'рого,кото'рому,"кото'рый, кото'рого",кото'рым,кото'ром,кото'рая,кото'рой,кото'рой,кото'рую,кото'рой,кото'рой,кото'рое,кото'рого,кото'рому,кото'рое,кото'рым,кото'ром,кото'рые,кото'рых,кото'рым,"кото'рые, кото'рых",кото'рыми,кото'рых
такой,тако'й,"such, so, that sort of",solch ein - so ein - so; ein solcher,,,,,,,тако'й,тако'го,тако'му,"тако'й,тако'го",таки'м,тако'м,така'я,тако'й,тако'й,таку'ю,"тако'й, тако'ю",тако'й,тако'е,тако'го,тако'му,тако'е,таки'м,тако'м,таки'е,таки'х,таки'м,"таки'е,таки'х",таки'ми,таки'х
какой,како'й,"which, what, what kind of","welcher, was für, was für ein, welch",,,,,,,како'й,како'го,како'му,"како'й,како'го",каки'м,како'м,кака'я,како'й,како'й,каку'ю,"како'й, како'ю",како'й,како'е,како'го,како'му,како'е,каки'м,како'м,каки'е,каки'х,каки'м,"каки'е,каки'х",каки'ми,каки'х
мой,мой,"my, mine, my people","mein, meine",,,,,,,мо'й,моего',моему',"мо'й, моего'",мои'м,моём,моя',мое'й,мое'й,мою',"мое'й, мое'ю",мое'й,моё,моего',моему',моё,мои'м,моём,мои',мои'х,мои'м,"мои', мои'х",мои'ми,мои'х
самый,са'мый,the most,"meisten, ganz; selbst; aller-",,,,,,,са'мый,са'мого,са'мому,"са'мый,са'мого",са'мым,са'мом,са'мая,са'мой,са'мой,са'мую,"са'мой, са'мою",са'мой,са'мое,са'мого,са'мому,са'мое,са'мым,са'мом,са'мые,са'мых,са'мым,"са'мые,са'мых",са'мыми,са'мых
большой,большо'й,"big, large, great, important, grown-up",groß,бо'льше;бо'льший,наибо'льший,вели'к,велика',велико',велики',большо'й,большо'го,большо'му,"большо'го,большо'й",больши'м,большо'м,больша'я,большо'й,большо'й,большу'ю,"большо'й,большо'ю",большо'й,большо'е,большо'го,большо'му,большо'е,больши'м,большо'м,больши'е,больши'х,больши'м,"больши'х,больши'е",больши'ми,больши'х
другой,друго'й,"other, another, different, another thing, something else, others, the rest","andere, nächste, folgende",,,,,,,друго'й,друго'го,друго'му,"друго'й,друго'го",други'м,друго'м,друга'я,друго'й,друго'й,другу'ю,"друго'й, друго'ю",друго'й,друго'е,друго'го,друго'му,друго'е,други'м,друго'м,други'е,други'х,други'м,"други'е,други'х",други'ми,други'х
свой,свой,my; your; his; her; our; their,seine,,,,,,,сво'й,своего',своему',"сво'й,своего'",свои'м,своём,своя',свое'й,свое'й,свою',"свое'й, свое'ю",свое'й,своё,своего',своему',своё,свои'м,своём,свои',свои'х,свои'м,"свои',свои'х",свои'ми,свои'х
сам,сам,"ourselves, yourself, thyself, yourselves, himself, herself, itself, themselves","selbst, selber, allein, selbständig, von selbst",,,,,,,са'м,самого',самому',"са'м,самого'",сами'м,само'м,сама',само'й,само'й,"саму', самое'","само'й, самою'",само'й,само',самого',самому',само',сами'м,само'м,са'ми,сами'х,сами'м,"са'ми,сами'х",сами'ми,сами'х
первый,пе'рвый,"first, front, former, earliest",erste,,,,,,,пе'рвый,пе'рвого,пе'рвому,"пе'рвый, пе'рвого",пе'рвым,пе'рвом,пе'рвая,пе'рвой,пе'рвой,пе'рвую,"пе'рвой, пе'рвою",пе'рвой,пе'рвое,пе'рвого,пе'рвому,пе'рвое,пе'рвым,пе'рвом,пе'рвые,пе'рвых,пе'рвым,"пе'рвые, пе'рвых",пе'рвыми,пе'рвых
должный,до'лжный,must,"sollen, müssen",,,до'лжен,должна',должно',должны',до'лжный,до'лжного,до'лжному,"до'лжный,до'лжного",до'лжным,до'лжном,до'лжная,до'лжной,до'лжной,до'лжную,"до'лжной,(до'лжною)",до'лжной,до'лжное,до'лжного,до'лжному,до'лжное,до'лжным,до'лжном,до'лжные,до'лжных,до'лжным,"до'лжные,до'лжных",до'лжными,до'лжных
новый,но'вый,"new, novel",neu,нове'е,нове'йший,нов,нова',но'во,но'вы / новы',но'вый,но'вого,но'вому,"но'вый, но'вого",но'вым,но'вом,но'вая,но'вой,но'вой,но'вую,"но'вой, но'вою",но'вой,но'вое,но'вого,но'вому,"но'вое, но'вого",но'вым,но'вом,но'вые,но'вых,но'вым,"но'вые, но'вых",но'выми,но'вых
каждый,ка'ждый,"each, every, everyone","jeder, jede, jedes, alle",,,,,,,ка'ждый,ка'ждого,ка'ждому,"ка'ждого,ка'ждый",ка'ждым,ка'ждом,ка'ждая,ка'ждой,ка'ждой,ка'ждую,"ка'ждой,ка'ждою",ка'ждой,ка'ждое,ка'ждого,ка'ждому,ка'ждое,ка'ждым,ка'ждом,ка'ждые,ка'ждых,ка'ждым,"ка'ждых,ка'ждые",ка'ждыми,ка'ждых
хороший,хоро'ший,"good, beautiful, handsome","gut, schön",лу'чше,лу'чший;наилу'чший,хоро'ш,хороша',хорошо',хороши',хоро'ший,хоро'шего,хоро'шему,"хоро'шего,хоро'ший",хоро'шим,хоро'шем,хоро'шая,хоро'шей,хоро'шей,хоро'шую,"хоро'шей,хоро'шею",хоро'шей,хоро'шее,хоро'шего,хоро'шему,хоро'шее,хоро'шим,хоро'шем,хоро'шие,хоро'ших,хоро'шим,"хоро'ших,хоро'шие",хоро'шими,хоро'ших
нужный,ну'жный,"necessary, needed","brauchen; nötig sein (müssen), notwendig",,,ну'жен,нужна',ну'жно,нужны',ну'жный,ну'жного,ну'жному,"ну'жный,ну'жного",ну'жным,ну'жном,ну'жная,ну'жной,ну'жной,ну'жную,"ну'жной,(ну'жною)",ну'жной,ну'жное,ну'жного,ну'жному,ну'жное,ну'жным,ну'жном,ну'жные,ну'жных,ну'жным,"ну'жные,ну'жных",ну'жными,ну'жных
последний,после'дний,"last, latest, latter, recent","letzter, letztes, aktuellste, neueste, jüngste; der Letzte, das Letzte (Schlimmste, Schlechteste)",,,,,,,после'дний,после'днего,после'днему,"после'дний,после'днего",после'дним,после'днем,после'дняя,после'дней,после'дней,после'днюю,"после'дней,(после'днею)",после'дней,после'днее,после'днего,после'днему,после'днее,после'дним,после'днем,после'дние,после'дних,после'дним,"после'дние,после'дних",после'дними,после'дних
второй,второ'й,"second, the latter",zweiter,,,,,,,второ'й,второ'го,второ'му,"второ'го,второ'й",вторы'м,второ'м,втора'я,второ'й,второ'й,втору'ю,"второ'й,второ'ю",второ'й,второ'е,второ'го,второ'му,второ'е,вторы'м,второ'м,вторы'е,вторы'х,вторы'м,"вторы'х,вторы'е",вторы'ми,вторы'х
старый,ста'рый,"old, ancient, the old, the past","alt, Alt-; der Alte",ста'рше;старе'е,старе'йший;ста'рший,стар,стара',"ста'ро,старо'","ста'ры,стары'",ста'рый,ста'рого,ста'рому,"ста'рый, ста'рого",ста'рым,ста'ром,ста'рая,ста'рой,ста'рой,ста'рую,"ста'рой, ста'рою",ста'рой,ста'рое,ста'рого,ста'рому,ста'рое,ста'рым,ста'ром,ста'рые,ста'рых,ста'рым,"ста'рых, ста'рые",ста'рыми,ста'рых
твой,твой,"your, yours, thy, thine, your people","dein, deine",,,,,,,тво'й,твоего',твоему',"тво'й,твоего'",твои'м,твоём,твоя',твое'й,твое'й,твою',"твое'й, твое'ю",твое'й,твоё,твоего',твоему',твоё,твои'м,твоём,твои',твои'х,твои'м,"твои',твои'х",твои'ми,твои'х
белый,бе'лый,white,weiß,,,бе'л,бела',"бе'ло,бело'","бе'лы,белы'",бе'лый,бе'лого,бе'лому,"бе'лый, бе'лого",бе'лым,бе'лом,бе'лая,бе'лой,бе'лой,бе'лую,"бе'лой, бе'лою",бе'лой,бе'лое,бе'лого,бе'лому,бе'лое,бе'лым,бе'лом,бе'лые,бе'лых,бе'лым,"бе'лые, бе'лых",бе'лыми,бе'лых
